,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
1,6020702,AMC,Meibergdreef 9,Amsterdam Zuidoost,NH,1105AZ,Ignore County,0123456789,Academisch ziekenhuis,Amsterdam UMC,Yes,5,52.2946098910698,4.9584547104020
2,,Emma Kinderziekenhuis,Meibergdreef 9,Amsterdam,NH,1105AZ,Ignore County,0123456789,Kinderziekenhuis,Amsterdam UMC,Yes,5,52.2946098910698,4.9584547104020
3,6020701,Vumc,de Boelelaan 1117,Amsterdam,NH,1081HV,Ignore County,0123456789,Academisch ziekenhuis,Amsterdam UMC,Yes,5,52.3341099704103,4.8655204098241
4,6021101,Maastricht UMC+,P. Debijelaan 25,Maastricht,LI,6229HX,Ignore County,0123456789,Academisch ziekenhuis,Maastricht UMC+,Yes,5,50.8355287839890,5.7134357492935
5,22220129,Medisch centrum Annadal,Brouwersweg 100,Maastricht,LI,6216EG,Ignore County,0123456789,Buitenpolikliniek,Maastricht UMC+,Yes,5,50.8463396901629,5.6695838972445
7,22220129,Stadspoli West,Clavecymbelstraat 71A-77A,Maastricht,LI,6217CS,Ignore County,0123456789,Buitenpolikliniek,Maastricht UMC+,Yes,5,50.8593239430461,5.6675332056250
8,6010859,Albert Schweitzer Ziekenhuis Dordwijk,A. Schweitzerplaats 25,Dordrecht,ZH,3318AT,Ignore County,0123456789,Algemeen ziekenhuis,Albert Schweitzer Ziekenhuis,Yes,5,51.7921649144690,4.6820291382003
9,6010859,Albert Schweitzer Ziekenhuis Zwijndrecht,Langeweg 336,Zwijndrecht,ZH,3331LZ,Ignore County,0123456789,Algemeen ziekenhuis,Albert Schweitzer Ziekenhuis,Yes,5,51.8270897010695,4.6300000705288
10,6010859,Albert Schweitzer Ziekenhuis Sliedrecht,Stationspark 400,Sliedrecht,ZH,3364DA,Ignore County,0123456789,Algemeen ziekenhuis,Albert Schweitzer Ziekenhuis,Yes,5,51.8286022086533,4.7772881966787
11,6010859,Albert Schweitzer Ziekenhuis Buitenpoli GOED Ridderkerk,Jan Luykenstraat 8,Ridderkerk,ZH,2985BV,Ignore County,0123456789,Buitenpolikliniek,Albert Schweitzer Ziekenhuis,Yes,5,51.8662205670197,4.6028883205511
12,6010535,Rijnstate Ziekenhuis,Wagnerlaan 55,Arnhem,GE,6815AD,Ignore County,0123456789,Algemeen ziekenhuis,Rijnstate Ziekenhuis,Yes,5,52.0007085632346,5.9106504051141
13,6010535,Rijnstate Ziekenhuis Zevenaar,Hunneveldweg 14A,Zevenaar,GE,6903ZN,Ignore County,0123456789,Algemeen ziekenhuis,Rijnstate Ziekenhuis,Yes,5,51.9417958038334,6.0669713227480
14,6010535,Rijnstate Polikliniek Arnhem-zuid,Marga Klompélaan 6,Arnhem,GE,6836BH,Ignore County,0123456789,Buitenpolikliniek,Rijnstate Ziekenhuis,Yes,5,51.9476370608492,5.8845482291203
15,6010535,Rijnstate Ziekenhuis Velp,President Kennedylaan 100,Velp Gld,GE,6883AZ,Ignore County,0123456789,Buitenpolikliniek,Rijnstate Ziekenhuis,Yes,5,51.9863466734420,5.9764805226198
16,6011033,Amphia Ziekenhuis Breda Molengracht,Molengracht 21,Breda,NB,4818CK,Ignore County,0123456789,Algemeen ziekenhuis,Amphia Ziekenhuis,Yes,5,51.5818553804550,4.7973251235106
