,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
1,1,UrgentCare1,Street 1,Meppel,DR,7940XX,yeah nice international support,3947779410,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.7047653217626,6.1977201775604
2,2,UrgentCare2,Street 2,Nijeveen,DR,7948ZG,yeah nice international support,5082153551,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.7324136614085,6.1674563735959
3,3,UrgentCare3,Street 3,Rogat,DR,7949AA,yeah nice international support,7666145821,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.6893614515206,6.2649033777878
4,4,UrgentCare4,Street 4,De Schiphorst,DR,7966AA,yeah nice international support,1235010051,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.6810346596460,6.2677156038989
5,5,UrgentCare5,Street 5,Broekhuizen,DR,7965AA,yeah nice international support,1287113937,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.6980433795338,6.2648200989814
6,6,UrgentCare6,Street 6,Amen,DR,9446PA,yeah nice international support,8549167320,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9407716660838,6.6113290165326
7,7,UrgentCare7,Street 7,Anderen,DR,9465TJ,yeah nice international support,9632969758,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0026228525645,6.6829326635056
8,8,UrgentCare8,Street 8,Anloo,DR,9467PA,yeah nice international support,2331776148,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0439707651784,6.7026389230598
9,9,UrgentCare9,Street 9,Annen,DR,9468AA,yeah nice international support,6183117216,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0643838141235,6.7118704264048
10,10,UrgentCare10,Street 10,Annerveenschekanaal,DR,9654PL,yeah nice international support,7480279449,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0851554892198,6.7902882568134
